                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6124,                 4.1368,                 1.5276,                0.00217,                0.60938,                0.03819,                0.01836,                      0,                    inf,                      0,                 0.0883,                 0.0013,                 0.0013
                      1,                 1.3896,                 3.3448,                 1.2752,                0.00272,                0.76562,                0.15603,                0.08084,                      0,                    inf,                      0,               0.075687,              0.0026866,              0.0026866
                      2,                 1.4865,                 2.2649,                  1.313,                0.00278,                0.78125,                0.38339,                0.20728,                      0,                    inf,                      0,               0.063059,              0.0040594,              0.0040594
                      3,                 1.4372,                 1.9322,                 1.1917,                 0.5947,                0.09375,                0.42065,                0.22303,                      0,                    inf,                      0,               0.050418,              0.0054183,              0.0054183
                      4,                 1.4655,                 1.6792,                 1.2237,                0.37772,                0.67188,                0.57565,                0.31805,                      0,                    inf,                      0,               0.037763,              0.0067634,              0.0067634
                      5,                 1.4795,                 1.5229,                 1.2135,                0.47758,                 0.1875,                0.37939,                0.16385,                      0,                    inf,                      0,               0.025095,              0.0080946,              0.0080946
                      6,                 1.5099,                  1.549,                 1.2322,                0.83923,                0.17188,                0.47318,                0.20771,                      0,                    inf,                      0,               0.012412,              0.0094119,              0.0094119
                      7,                 1.4953,                 1.5524,                 1.2604,                0.48042,                0.35938,                 0.3507,                0.14585,                      0,                    inf,                      0,              0.0096535,              0.0096535,              0.0096535
                      8,                 1.5165,                 1.5035,                 1.2662,                0.73203,                    0.5,                 0.5621,                0.24736,                      0,                    inf,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                   1.55,                 1.4796,                 1.2406,                0.70639,                0.60938,                0.62764,                0.32905,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                     10,                 1.5414,                 1.3761,                 1.2674,                 0.7029,                0.53125,                0.55915,                0.27252,                      0,                    inf,                      0,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.5225,                 1.4554,                 1.2937,                0.50749,                0.60938,                0.54543,                0.23493,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                     12,                 1.5071,                 1.3142,                  1.228,                0.70068,                0.65842,                  0.691,                0.32145,                      0,                    inf,                      0,              0.0094555,              0.0094555,              0.0094555
                     13,                  1.554,                 1.3344,                 1.2859,                0.70531,                0.46875,                0.58216,                0.31323,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                     14,                 1.4502,                 1.3866,                 1.2014,                 0.6456,                 0.5625,                0.63523,                0.34756,                      0,                    inf,                      0,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.4214,                 1.3239,                 1.2151,                0.25105,                0.40625,                0.21654,                0.11255,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                     16,                  1.414,                 1.2082,                 1.1966,                0.71245,                0.58074,                0.65431,                0.34967,                      0,                    inf,                      0,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.4868,                 1.2332,                 1.2672,                0.71506,                0.62742,                0.65123,                0.30502,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     18,                 1.4649,                 1.1869,                 1.2315,                0.61251,                 0.5625,                0.56862,                0.26372,                      0,                    inf,                      0,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.4491,                 1.2214,                  1.254,                0.61597,                0.70312,                0.58811,                 0.2661,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     20,                  1.444,                 1.2867,                 1.2332,                0.55907,                0.67188,                0.58187,                0.26973,                      0,                    inf,                      0,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.3937,                 1.1308,                  1.205,                0.58444,                0.57812,                 0.5712,                0.27446,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     22,                 1.3971,                 1.0339,                 1.1769,                0.62366,                0.67326,                0.65313,                0.31759,                      0,                    inf,                      0,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.3842,                 1.1135,                 1.1786,                0.78109,                0.79688,                0.77059,                0.36167,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     24,                 1.4066,                 1.0729,                 1.2094,                 0.6893,                0.71875,                0.71536,                0.38903,                      0,                    inf,                      0,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.4373,                 1.0873,                 1.2612,                0.64377,                0.59375,                  0.599,                0.30242,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     26,                 1.3436,                 1.0382,                 1.1886,                 0.6546,                 0.5625,                0.50258,                0.26151,                      0,                    inf,                      0,              0.0087625,              0.0087625,              0.0087625
                     27,                  1.396,                  1.086,                 1.1686,                0.69012,                0.59375,                0.57851,                0.30295,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     28,                 1.3058,                0.98583,                 1.1296,                0.72341,                0.67188,                0.70963,                0.34206,                      0,                    inf,                      0,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.3267,                0.99924,                 1.1727,                0.71246,                  0.625,                0.71101,                0.32327,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     30,                 1.3409,                0.98406,                 1.1763,                0.77258,                 0.6875,                0.75791,                0.40125,                      0,                    inf,                      0,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.3786,                0.98179,                 1.2292,                0.78928,                0.70312,                0.70013,                0.33603,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     32,                 1.3353,                0.96922,                 1.1648,                0.75706,                0.65625,                0.71875,                0.36817,                      0,                    inf,                      0,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.3414,                0.96311,                 1.1872,                0.77861,                0.71875,                0.73511,                0.35849,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     34,                 1.1785,                0.88932,                 1.1127,                0.69988,                   0.75,                0.75066,                0.33825,                      0,                    inf,                      0,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.3234,                0.90588,                 1.1004,                0.77915,                 0.6875,                0.73887,                0.38317,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
